Year,Total production value,Economy efficiency,Dimission proportion,Product factors,Productivity,Management factors
1990,12,2.1,3.55,1,1,1
1991,18,3.1,4.41,1,1,1
1992,26.1,4.5,4.8,1.2,1.1,1.2
1993,36.8,5.9,5.33,1.2,1.1,1.2
1994,50.4,8.6,5.56,1.2,1.1,1.2
1995,68,10.2,6.04,1.2,1.4,1.3
1996,90,11,6.53,1.2,1.4,1.3
1997,117,18.5,6.78,1.2,1.5,1.4
1998,138,20.7,6.66,1.2,1.5,1.4
1999,164,29.5,6.43,1.4,1.7,1.4
2000,200,39,6.7,1.4,1.7,1.4
2001,240,52,6.34,1.4,1.7,1.6
2002,295,67.8,5.89,1.4,1.7,1.6
2003,362,90.5,5.71,1.6,1.8,1.7
2004,445,115.7,5.68,1.6,1.8,1.7
2005,556,150,5.4,1.6,1.8,1.8
2006,771,191,5.43,1.6,1.8,1.8
